GO_term	taxon	taxon_id	lineage
GO:0032570	Euteleostomi	117571.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata | Gnathostomata | Teleostomi | Euteleostomi
GO:0015693	cellular organisms	131567.0	root | cellular organisms
GO:0009649	cellular organisms	131567.0	root | cellular organisms
GO:0051719	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0008843	root	1.0	root
GO:0009782	Embryophyta	3193.0	root | cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta
GO:0038084	Vertebrata	7742.0	root | cellular organisms | Eukaryota | Opisthokonta | Metazoa | Eumetazoa | Bilateria | Deuterostomia | Chordata | Craniata | Vertebrata
GO:0071339	Eukaryota	2759.0	root | cellular organisms | Eukaryota
GO:0031012	root	1.0	root
GO:0045787	cellular organisms	131567.0	root | cellular organisms
